ligand	receptor
Wnt9a	Egfr
Wnt9a	Fzd9
Wnt9a	Fzd4
Wnt9a	Fzd7
Ccl2	Ccr4
Ccl2	Ccr2
Ccl2	Ackr1
Ccl12	Ccr4
Ccl12	Ccr2
Cdh1	Itgb7
Cdh1	Egfr
Cdh1	Fgfr1
Cdh1	Ptprj
Cdh1	Itgae
Cdh1	Ptprm
Cdh1	Igf1r
Cdh1	Klrg1
Ccl11	Ccr2
Ccl11	Ccr5
Ccl11	Cxcr3
Ccl11	Ccr3
Pdgfb	Lrp1
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Fasl	Fas
Il4	Il4ra
Il4	Il2ra
Il4	Tlr2
Il4	Il2rg
Il4	Il13ra1
Il4	Il13ra2
Ccl3	Ccr1
Ccl3	Ccr5
Ccl3	Ccr3
Icam4	Itgav
Icam4	Itgam
S100a4	Egfr
S100a4	Erbb2
Icam2	Itgal
Icam2	Itgam
Efnb2	Ephb2
Efnb2	Epha3
Efnb2	Epha4
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb6
Col1a1	Itgb1
Col1a1	Cd44
Col1a1	Cd93
Il16	Kcnj4
Il16	Grin2d
Il16	Kcna3
Il16	Kcnj15
Il16	Kcnd1
Il16	Cd4
Il16	Kcnj10
Angptl4	Gpihbp1
Tgfb1	Tgfbr1
Tgfb1	Itgb1
Tgfb1	Eng
Tgfb1	Sdc2
Tgfb1	Tgfbr3
Tgfb1	Tgfbr2
Tgfb1	Itgb8
Lamb1	Itga6
Lamb1	Itgb1
Efna2	Epha3
Efna2	Epha4
Efna2	Epha1
Efna2	Epha2
Ebi3	Il6st
Ebi3	Il27ra
Comp	Itgav
Comp	Notch1
Comp	Notch3
Comp	Cd47
Comp	Itga7
Comp	Cd36
Tgfb3	Acvr1
Tgfb3	Tgfbr1
Tgfb3	Eng
Tgfb3	Tgfbr3
Tgfb3	Tgfbr2
Gdf15	Egfr
Gdf15	Tgfbr1
Gdf15	Ret
Gdf15	Tgfbr2
Calr	Scarf1
Calr	Lrp1
Efnb3	Ephb2
Efnb3	Epha4
Efnb3	Ephb3
Efnb3	Ephb6
Pgf	Flt1
Pgf	Nrp1
Pgf	Nrp2
Pgf	Egfr
Ccl24	Ccr2
Ccl24	Ccr3
App	Cd74
App	Trpc6
App	Lrp8
App	Lrp4
App	Tspan12
App	Notch2
App	Lrp10
App	Gpr3
App	Tspan15
App	Cd47
App	Fpr2
App	Tnfrsf21
App	Lrp1
App	Vldlr
App	Adra2a
App	Notch1
App	Lrp6
App	Cav1
App	Sorl1
Agrp	Sdc3
Tnfsf14	Ltbr
Tnfsf14	Fas
Tnfsf14	Tnfrsf14
Bmp7	Acvr1
Bmp7	Acvr2b
Bmp7	Bmpr1b
Bmp7	Acvr2a
Bmp7	Bmpr2
Bmp7	Bmpr1a
Ccl8	Ccr1
Ccl8	Ccr8
Ccl8	Ccr2
Ccl8	Ccr5
Ccl8	Ccr3
Rarres2	Ccrl2
Timp1	Cd63
Timp1	Itgb1
Timp1	Lrp1
Psen2	Notch2
Wnt2	Fzd2
Wnt2	Fzd9
Wnt2	Fzd3
Wnt2	Fzd8
Wnt2	Lrp5
Wnt2	Fzd1
Wnt2	Fzd5
Wnt2	Fzd4
Wnt2	Fzd7
Csf1	Csf1r
Csf1	Flt4
Dll1	Notch4
Dll1	Notch2
Dll1	Notch1
Dll1	Notch3
Mmp13	Lrp1
Lama5	Itgb4
Cd34	Sell
Cd274	Pdcd1
Cd274	Cd80
Lnx2	Cd8a
Lnx2	Cxadr
Il10	Il10ra
Il10	Il10rb
Igfbp4	Lrp6
Ada	Adora2b
Ada	Dpp4
Mmp9	Ephb2
Mmp9	Tlr9
Mmp9	Lrp1
Mmp9	Tlr4
Mfng	Notch1
Gdf9	Bmpr1b
Gdf9	Acvr2a
Gdf9	Bmpr2
Gdf9	Bmpr1a
Csf2	Csf2rb
Csf2	Csf2ra
Csf2	Sdc2
Csf2	Csf1r
Csf2	Csf3r
Cxcl16	Cxcr6
Ccl6	Ccr1
Ccl4	Ccr1
Ccl4	Ccr8
Ccl4	Ccr5
Ccl4	Ccr3
Ccl9	Ccr1
Calm3	Scn4a
Calm3	Mylk
Icam5	Itgal
Cd70	Cd27
Sema6a	Plxna4
Sema6a	Plxna2
Lama4	Itgb1
Nts	Sort1
Hsp90b1	Tlr9
Hsp90b1	Lrp1
Hsp90b1	Tlr2
Hsp90b1	Tlr4
Hsp90b1	Lrp6
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr3
Fgf22	Fgfr1
Fgf22	Fgfr2
Il13	Il13ra2
Il13	Il13ra1
Il13	Il4ra
Pomc	Mc1r
Ccl7	Ccr1
Ccl7	Ccr2
Ccl7	Ccr5
Ccl7	Ccr10
Ccl7	Cxcr3
Ccl7	Ccr3
Edn1	Ednrb
Edn1	Ednra
Sema4d	Cd72
Sema4d	Plxnb1
Sema4d	Erbb2
Sema4d	Met
Sema4d	Plxnb2
Sema4d	Plxna2
Cxcl14	Cxcr4
Thbs4	Notch1
Fgf10	Fgfr1
Fgf10	Fgfr2
Fgf10	Fgfr3
Nid2	Col13a1
Plau	Lrp1
Plau	Mrc2
Plau	Igf2r
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr3
Tnfsf11	Lgr4
Tnfsf11	Tnfrsf11b
Tnfsf11	Itga2b
Tnfsf11	Tnfrsf11a
Clu	Lrp8
Clu	Vldlr
Angpt1	Itga5
Angpt1	Tek
Pros1	Tyro3
Wnt10b	Fzd8
Wnt10b	Lrp6
Wnt10b	Fzd5
Wnt10b	Fzd4
Wnt10b	Fzd7
Cxcl13	Cxcr5
Cxcl13	Cxcr3
Ccl25	Ccr9
Guca2a	Gucy2c
C3	Cd46
C3	Cd55
C3	Lrp1
C3	C3ar1
C3	Cr2
C3	C5ar2
C3	Cd19
C3	Itgam
C3	Cd81
Tslp	Crlf2
Ltb	Tnfrsf1a
Ltb	Ltbr
Tnf	Rhbdf2
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Lta	Tnfrsf1a
Lta	Tnfrsf14
Lta	Ltbr
Lta	Tnfrsf1b
Hbegf	Erbb3
Hbegf	Cd9
Hbegf	Erbb2
Anxa1	Fpr2
Anxa1	Fpr1
Anxa1	Dysf
Il33	Il1rl1
Il33	Il1rap
Gal	Galr2
Vegfb	Flt1
Vegfb	Nrp1
Rbp4	Stra6
Sema4g	Plxnb2
Gdf11	Acvr2b
Gdf11	Acvr2a
Il23a	Il23r
Hras	Tlr9
Hras	Tlr2
Podxl	Sell
Il6	Il6ra
Il6	Il6st
Il17a	Il17rd
Il17a	Il17rc
Ctla4	Cd80
Nppc	Npr3
Nppc	Npr1
Nppc	Npr2
Lamc2	Itga6
Lamc2	Itgb1
Lamc2	Itgb4
Xcl1	Xcr1
Angptl1	Tek
Tnfsf4	Traf2
Tnfsf4	Tnfrsf4
Hc	C5ar2
Hc	C5ar1
Il1f6	Il1rap
Il1f6	Il1rl2
Lin7c	Abca1
Mdk	Itgb1
Mdk	Lrp6
Mdk	Lrp1
Jag1	Notch2
Jag1	Notch3
Spint1	St14
Bmp2	Acvr2b
Bmp2	Bmpr1b
Bmp2	Tgfbr3
Bmp2	Acvr2a
Bmp2	Bmpr2
Bmp2	Acvr1
Bmp2	Bmpr1a
Il1b	Il1rap
Il1a	Il1rap
Angpt4	Tek
a	Mc1r
Il21	Il21r
Il21	Il2rg
Il2	Il2rg
Il2	Il2rb
Efna1	Epha3
Efna1	Epha1
Vcam1	Itga4
Vcam1	Itgb1
Vcam1	Itga9
Sfrp2	Fzd5
Pdgfc	Pdgfra
Egf	Erbb3
Egf	Erbb2
Dkk2	Lrp6
Efna3	Epha3
Efna3	Epha1
Efna3	Erbb2
Efna4	Epha3
Efna4	Epha1
Adam15	Itgb1
Adam15	Itga9
Sema4a	Plxnb1
Sema4a	Plxnb2
Tnfsf8	Tnfrsf8
Tln1	Itgal
Tln1	Itgb1
Col9a2	Mag
Sema3c	Plxna4
Sema3c	Plxnb1
Sema3c	Nrp2
Hgf	Itgb1
Hgf	Nrp2
Hgf	Plxnb1
Hgf	Met
Rspo1	Lgr4
Rspo1	Lgr6
Rspo1	Lrp6
Rspo1	Znrf3
Sema3a	Plxna4
Sema3a	Nrp2
Sema3a	Plxna1
Cort	Sstr2
Bmp3	Acvr2b
Bmp3	Acvr2a
Cxcl5	Cxcr2
Cxcl5	Ackr1
Ppbp	Cxcr2
Ppbp	Cxcr1
Pf4	Thbd
Pf4	Fgfr2
Pf4	Cxcr3
Pf4	Lrp1
Areg	Erbb3
Areg	Erbb2
Cxcl3	Cxcr2
Cxcl3	Cxcr3
Cxcl1	Cxcr2
Cxcl1	Cxcr1
Cxcl1	Ackr1
Col1a2	Itgb1
Col1a2	Itga2
Col1a2	Cd93
Npy	Dpp4
Npy	Fap
Tgfa	Erbb3
Tgfa	Erbb2
Prok2	Prokr2
Prok2	Prokr1
Wnt7a	Fzd1
Wnt7a	Fzd9
Wnt7a	Fzd3
Wnt7a	Adgra2
Wnt7a	Lrp6
Wnt7a	Fzd5
Wnt7a	Fzd4
Wnt7a	Fzd7
Gdf3	Acvr2b
Gdf3	Acvr2a
Clec2d	Klrb1b
Rtn2	Rtn4r
Vasp	Itga4
Mfge8	Itgb5
Mfge8	Itgb1
Calca	Calcrl
Hpx	Lrp1
Fadd	Tradd
Cd40lg	Traf1
Fgf13	Fgfr1
Fgf13	Fgfr2
Fgf13	Scn5a
Fgf13	Fgfr3
F9	Lrp1
F8	Ldlr
F8	Lrp1
Bgn	P2rx7
