mouseGene	humanGene
Sox17	SOX17
Mrpl15	MRPL15
Lypla1	LYPLA1
Tcea1	TCEA1
Rgs20	RGS20
Atp6v1h	ATP6V1H
Rb1cc1	RB1CC1
Alkal1	ALKAL1
St18	ST18
Pcmtd1	PCMTD1
Rrs1	RRS1
Adhfe1	ADHFE1
Mybl1	MYBL1
Vcpip1	VCPIP1
Mcmdc2	MCMDC2
Tcf24	TCF24
Ppp1r42	PPP1R42
Cops5	COPS5
Cspp1	CSPP1
Arfgef1	ARFGEF1
Cpa6	CPA6
Prex2	PREX2
Sulf1	SULF1
Slco5a1	SLCO5A1
Ncoa2	NCOA2
Tram1	TRAM1
Lactb2	LACTB2
Eya1	EYA1
Msc	MSC
Terf1	TERF1
Sbspon	SBSPON
Rpl7	RPL7
Rdh10	RDH10
Stau2	STAU2
Ube2w	UBE2W
Eloc	ELOC
Tmem70	TMEM70
Ly96	LY96
Pi15	PI15
Tfap2b	TFAP2B
Il17a	IL17A
Il17f	IL17F
Mcm3	MCM3
Paqr8	PAQR8
Efhc1	EFHC1
Tram2	TRAM2
Tmem14a	TMEM14A
Kcnq5	KCNQ5
Ogfrl1	OGFRL1
B3gat2	B3GAT2
Smap1	SMAP1
Sdhaf4	SDHAF4
Fam135a	FAM135A
Lmbrd1	LMBRD1
Phf3	PHF3
Ptp4a1	PTP4A1
Khdrbs2	KHDRBS2
Prim2	PRIM2
Rab23	RAB23
Bag2	BAG2
Zfp451	ZNF451
Bend6	BEND6
Ccdc115	CCDC115
Imp4	IMP4
Ptpn18	PTPN18
Arhgef4	ARHGEF4
Fam168b	FAM168B
Plekhb2	PLEKHB2
Hs6st1	HS6ST1
Uggt1	UGGT1
Neurl3	NEURL3
Arid5a	ARID5A
Kansl3	KANSL3
Lman2l	LMAN2L
Cnnm4	CNNM4
Cnnm3	CNNM3
Ankrd23	ANKRD23
Ankrd39	ANKRD39
Sema4c	SEMA4C
Fam178b	FAM178B
Actr1b	ACTR1B
Zap70	ZAP70
Tmem131	TMEM131
Vwa3b	VWA3B
Inpp4a	INPP4A
Coa5	COA5
Unc50	UNC50
Mgat4a	MGAT4A
Tsga10	TSGA10
Lipt1	LIPT1
Mitd1	MITD1
Mrpl30	MRPL30
Txndc9	TXNDC9
Eif5b	EIF5B
Rev1	REV1
Aff3	AFF3
Chst10	CHST10
Pdcl3	PDCL3
Npas2	NPAS2
Rpl31	RPL31
Tbc1d8	TBC1D8
Cnot11	CNOT11
Rnf149	RNF149
Creg2	CREG2
Rfx8	RFX8
Map4k4	MAP4K4
Il1r2	IL1R2
Il1r1	IL1R1
Il1rl2	IL1RL2
Il1rl1	IL1RL1
Il18r1	IL18R1
Il18rap	IL18RAP
Slc9a4	SLC9A4
Slc9a2	SLC9A2
Mfsd9	MFSD9
Mrps9	MRPS9
Gpr45	GPR45
Tgfbrap1	TGFBRAP1
AI597479	C2orf49
Fhl2	FHL2
Nck2	NCK2
Uxs1	UXS1
Tpp2	TPP2
Mettl21c	METTL21C
Tex30	TEX30
Bivm	BIVM
Ercc5	ERCC5
Gulp1	GULP1
Col3a1	COL3A1
Col5a2	COL5A2
Wdr75	WDR75
Slc40a1	SLC40A1
Slc39a10	SLC39A10
Tmeff2	TMEFF2
Cavin2	CAVIN2
Nabp1	NABP1
